dataset	module	param_hash	phase	seconds
be1-fixture	pc-scanpy	27fd56a7	load	0.057
be1-fixture	pc-scanpy	27fd56a7	pca	0.441
be1-fixture	pc-scanpy	27fd56a7	write	0.021
be1-fixture	pc-scanpy	46458866	load	0.052
be1-fixture	pc-scanpy	46458866	pca	0.471
be1-fixture	pc-scanpy	46458866	write	0.024
tenx-0020k	pc-rapids	027ea001	load	0.52
tenx-0020k	pc-rapids	027ea001	gpu_upload	0.128
tenx-0020k	pc-rapids	027ea001	compute	0.681
tenx-0020k	pc-rapids	027ea001	gpu_download	0.019
tenx-0020k	pc-rapids	027ea001	write	0.943
tenx-0020k	pc-rapids	2144446e	load	0.551
tenx-0020k	pc-rapids	2144446e	gpu_upload	0.136
tenx-0020k	pc-rapids	2144446e	compute	2.938
tenx-0020k	pc-rapids	2144446e	gpu_download	0.046
tenx-0020k	pc-rapids	2144446e	write	0.958
tenx-0020k	pc-rapids	08c55646	load	0.559
tenx-0020k	pc-rapids	08c55646	gpu_upload	0.121
tenx-0020k	pc-rapids	08c55646	compute	0.771
tenx-0020k	pc-rapids	08c55646	gpu_download	0.02
tenx-0020k	pc-rapids	08c55646	write	0.956
tenx-0020k	pc-rapids	8f460a50	load	0.51
tenx-0020k	pc-rapids	8f460a50	gpu_upload	0.116
tenx-0020k	pc-rapids	8f460a50	compute	0.76
tenx-0020k	pc-rapids	8f460a50	gpu_download	0.019
tenx-0020k	pc-rapids	8f460a50	write	0.887
tenx-0020k	pc-rapids	20b14d38	load	0.57
tenx-0020k	pc-rapids	20b14d38	gpu_upload	0.131
tenx-0020k	pc-rapids	20b14d38	compute	0.713
tenx-0020k	pc-rapids	20b14d38	gpu_download	0.027
tenx-0020k	pc-rapids	20b14d38	write	1.252
tenx-0020k	pc-rapids	813e1c9a	load	0.539
tenx-0020k	pc-rapids	813e1c9a	gpu_upload	0.123
tenx-0020k	pc-rapids	813e1c9a	compute	0.765
tenx-0020k	pc-rapids	813e1c9a	gpu_download	0.018
tenx-0020k	pc-rapids	813e1c9a	write	0.899
tenx-0020k	pc-rapids	22fa1a5e	load	0.511
tenx-0020k	pc-rapids	22fa1a5e	gpu_upload	0.112
tenx-0020k	pc-rapids	22fa1a5e	compute	0.661
tenx-0020k	pc-rapids	22fa1a5e	gpu_download	0.022
tenx-0020k	pc-rapids	22fa1a5e	write	0.942
tenx-0020k	pc-rapids	4fb25ed3	load	0.551
tenx-0020k	pc-rapids	4fb25ed3	gpu_upload	0.137
tenx-0020k	pc-rapids	4fb25ed3	compute	0.76
tenx-0020k	pc-rapids	4fb25ed3	gpu_download	0.024
tenx-0020k	pc-rapids	4fb25ed3	write	0.982
tenx-0020k	pc-rapids	3416757a	load	0.523
tenx-0020k	pc-rapids	3416757a	gpu_upload	0.125
tenx-0020k	pc-rapids	3416757a	compute	0.813
tenx-0020k	pc-rapids	3416757a	gpu_download	0.018
tenx-0020k	pc-rapids	3416757a	write	0.893
tenx-0020k	pc-rapids	3b57412e	load	0.513
tenx-0020k	pc-rapids	3b57412e	gpu_upload	0.122
tenx-0020k	pc-rapids	3b57412e	compute	0.78
tenx-0020k	pc-rapids	3b57412e	gpu_download	0.027
tenx-0020k	pc-rapids	3b57412e	write	1.083
tenx-0020k	pc-rapids	78deb458	load	0.514
tenx-0020k	pc-rapids	78deb458	gpu_upload	0.128
tenx-0020k	pc-rapids	78deb458	compute	0.673
tenx-0020k	pc-rapids	78deb458	gpu_download	0.026
tenx-0020k	pc-rapids	78deb458	write	0.939
tenx-0020k	pc-rapids	254daab8	load	0.521
tenx-0020k	pc-rapids	254daab8	gpu_upload	0.122
tenx-0020k	pc-rapids	254daab8	compute	0.804
tenx-0020k	pc-rapids	254daab8	gpu_download	0.019
tenx-0020k	pc-rapids	254daab8	write	0.938
tenx-0020k	pc-rapids	ddb1f294	load	0.518
tenx-0020k	pc-rapids	ddb1f294	gpu_upload	0.12
tenx-0020k	pc-rapids	ddb1f294	compute	1.049
tenx-0020k	pc-rapids	ddb1f294	gpu_download	0.032
tenx-0020k	pc-rapids	ddb1f294	write	0.903
tenx-0020k	pc-rapids	d39f411c	load	0.515
tenx-0020k	pc-rapids	d39f411c	gpu_upload	0.128
tenx-0020k	pc-rapids	d39f411c	compute	0.796
tenx-0020k	pc-rapids	d39f411c	gpu_download	0.02
tenx-0020k	pc-rapids	d39f411c	write	0.952
tenx-0020k	pc-rapids	e9ad848b	load	0.546
tenx-0020k	pc-rapids	e9ad848b	gpu_upload	0.277
tenx-0020k	pc-rapids	e9ad848b	compute	7.035
tenx-0020k	pc-rapids	e9ad848b	gpu_download	0.019
tenx-0020k	pc-rapids	e9ad848b	write	0.972
tenx-0020k	pc-scanpy	07ef8b80	load	0.52
tenx-0020k	pc-scanpy	07ef8b80	pca	4.149
tenx-0020k	pc-scanpy	07ef8b80	write	0.078
tenx-0020k	pc-scanpy	7980c8af	load	0.506
tenx-0020k	pc-scanpy	7980c8af	pca	3.741
tenx-0020k	pc-scanpy	7980c8af	write	0.069
tenx-0020k	pc-scanpy	1dab3e50	load	0.496
tenx-0020k	pc-scanpy	1dab3e50	pca	4.218
tenx-0020k	pc-scanpy	1dab3e50	write	0.071
tenx-0020k	pc-scanpy	ae8c1da3	load	0.492
tenx-0020k	pc-scanpy	ae8c1da3	pca	3.687
tenx-0020k	pc-scanpy	ae8c1da3	write	0.07
tenx-0020k	pc-scanpy	4f52dcab	load	0.492
tenx-0020k	pc-scanpy	4f52dcab	pca	3.726
tenx-0020k	pc-scanpy	4f52dcab	write	0.069
tenx-0020k	pc-scanpy	67915c1a	load	0.758
tenx-0020k	pc-scanpy	67915c1a	pca	4.075
tenx-0020k	pc-scanpy	67915c1a	write	0.076
tenx-0020k	pc-scanpy	77f7dfd9	load	0.511
tenx-0020k	pc-scanpy	77f7dfd9	pca	4.105
tenx-0020k	pc-scanpy	77f7dfd9	write	0.077
tenx-0020k	pc-scanpy	9755b03f	load	0.489
tenx-0020k	pc-scanpy	9755b03f	pca	4.164
tenx-0020k	pc-scanpy	9755b03f	write	0.065
tenx-0020k	pc-scanpy	27fd56a7	load	0.539
tenx-0020k	pc-scanpy	27fd56a7	pca	4.671
tenx-0020k	pc-scanpy	27fd56a7	write	0.075
tenx-0020k	pc-scanpy	46458866	load	0.528
tenx-0020k	pc-scanpy	46458866	pca	4.21
tenx-0020k	pc-scanpy	46458866	write	0.066
d-pca	pc-rapids	027ea001	load	0.205
d-pca	pc-rapids	027ea001	gpu_upload	0.078
d-pca	pc-rapids	027ea001	compute	0.364
d-pca	pc-rapids	027ea001	gpu_download	0.007
d-pca	pc-rapids	027ea001	write	0.249
d-pca	pc-rapids	2144446e	load	0.183
d-pca	pc-rapids	2144446e	gpu_upload	0.065
d-pca	pc-rapids	2144446e	compute	0.473
d-pca	pc-rapids	2144446e	gpu_download	0.007
d-pca	pc-rapids	2144446e	write	0.255
d-pca	pc-rapids	08c55646	load	0.204
d-pca	pc-rapids	08c55646	gpu_upload	0.073
d-pca	pc-rapids	08c55646	compute	0.63
d-pca	pc-rapids	08c55646	gpu_download	0.014
d-pca	pc-rapids	08c55646	write	0.269
d-pca	pc-rapids	8f460a50	load	0.188
d-pca	pc-rapids	8f460a50	gpu_upload	0.071
d-pca	pc-rapids	8f460a50	compute	0.521
d-pca	pc-rapids	8f460a50	gpu_download	0.01
d-pca	pc-rapids	8f460a50	write	0.255
d-pca	pc-rapids	20b14d38	load	0.189
d-pca	pc-rapids	20b14d38	gpu_upload	0.075
d-pca	pc-rapids	20b14d38	compute	0.36
d-pca	pc-rapids	20b14d38	gpu_download	0.008
d-pca	pc-rapids	20b14d38	write	0.26
d-pca	pc-rapids	813e1c9a	load	0.197
d-pca	pc-rapids	813e1c9a	gpu_upload	0.08
d-pca	pc-rapids	813e1c9a	compute	0.598
d-pca	pc-rapids	813e1c9a	gpu_download	0.012
d-pca	pc-rapids	813e1c9a	write	0.247
d-pca	pc-rapids	22fa1a5e	load	0.2
d-pca	pc-rapids	22fa1a5e	gpu_upload	0.08
d-pca	pc-rapids	22fa1a5e	compute	0.363
d-pca	pc-rapids	22fa1a5e	gpu_download	0.009
d-pca	pc-rapids	22fa1a5e	write	0.267
d-pca	pc-rapids	4fb25ed3	load	0.194
d-pca	pc-rapids	4fb25ed3	gpu_upload	0.072
d-pca	pc-rapids	4fb25ed3	compute	0.537
d-pca	pc-rapids	4fb25ed3	gpu_download	0.009
d-pca	pc-rapids	4fb25ed3	write	0.265
d-pca	pc-rapids	3416757a	load	0.193
d-pca	pc-rapids	3416757a	gpu_upload	0.07
d-pca	pc-rapids	3416757a	compute	0.49
d-pca	pc-rapids	3416757a	gpu_download	0.014
d-pca	pc-rapids	3416757a	write	0.241
d-pca	pc-rapids	3b57412e	load	0.195
d-pca	pc-rapids	3b57412e	gpu_upload	0.066
d-pca	pc-rapids	3b57412e	compute	0.612
d-pca	pc-rapids	3b57412e	gpu_download	0.01
d-pca	pc-rapids	3b57412e	write	0.235
d-pca	pc-rapids	78deb458	load	0.191
d-pca	pc-rapids	78deb458	gpu_upload	0.075
d-pca	pc-rapids	78deb458	compute	0.351
d-pca	pc-rapids	78deb458	gpu_download	0.007
d-pca	pc-rapids	78deb458	write	0.243
d-pca	pc-rapids	254daab8	load	0.19
d-pca	pc-rapids	254daab8	gpu_upload	0.07
d-pca	pc-rapids	254daab8	compute	0.507
d-pca	pc-rapids	254daab8	gpu_download	0.017
d-pca	pc-rapids	254daab8	write	0.262
d-pca	pc-rapids	ddb1f294	load	0.183
d-pca	pc-rapids	ddb1f294	gpu_upload	0.064
d-pca	pc-rapids	ddb1f294	compute	0.584
d-pca	pc-rapids	ddb1f294	gpu_download	0.01
d-pca	pc-rapids	ddb1f294	write	0.231
d-pca	pc-rapids	d39f411c	load	0.192
d-pca	pc-rapids	d39f411c	gpu_upload	0.066
d-pca	pc-rapids	d39f411c	compute	0.634
d-pca	pc-rapids	d39f411c	gpu_download	0.01
d-pca	pc-rapids	d39f411c	write	0.243
d-pca	pc-rapids	e9ad848b	load	0.182
d-pca	pc-rapids	e9ad848b	gpu_upload	0.062
